Name,Area,Number,Link
Astro bar,Gávea,2259-0942,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1088/astro_bar_1088_1089_1089_1089_1089
Baby Beach Champanheria,Benfica,(21) 3895-2376,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4526/baby_beach_champanheria
Badalado Freguesia,Freguesia (Jacarepaguá),(21) 3591-9553 ,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4023/badalado_freguesia
Badalado Lagoa Club,Lagoa,(21) 99593-2428,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4845/badalado_lagoa_club
Badalado Lapa,Centro,(21) 3591-9553 ,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4024/badalado_lapa
Baixo Araguaia,Jacarepaguá,(21) 3392-3760,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1389/baixo_araguaia
Baixo Barra,Barra da Tijuca,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1958/baixo_barra
Baixo Gago,Laranjeiras,(21) 2556-0638,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1388/baixo_gago
Balcão Clandestino,Ipanema,(21) 3795.2178,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4948/balcao_clandestino
Banana Jack,Ipanema,(21) 2521-9055,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/13/banana_jack
Banana Jack,Barra da Tijuca,(21) 2491-1717,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4435/banana_jack20160106120705
Bangalô,Barra da Tijuca,(21) 2493-0313,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/2642/bangalo
Bar & Beef,Barra da Tijuca,(21) 3435-4636,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4595/bar__beef
Bar & Co,Barra da Tijuca,(21) 98317-0049,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4914/bar__co
Bar 399,Barra da Tijuca,(21) 3495-0690,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1059/bar_399
Bar 399,Recreio dos Bandeirantes,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4674/bar_39920170223154102
Bar Abençoado,Urca,(21) 2275-8925,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/739/bar-abencoado
Bar Adonis - Benfica,Benfica,(21) 3890-2283,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/748/bar-adonis---benfica
Bar Adonis - Nova América,Del Castilho,(21) 3083-1741,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/747/bar-adonis---nova-america
Bar Antuérpia,Leblon,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4774/bar_antuerpia
Bar Astor,Ipanema,2523-0085,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3935/bar_astor
Bar Bada,Gávea,2512-0993,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1082/bar_bada_1082_1083_1083_1083_1083_1083
Bar Boemia,Leblon,(21) 2511-3122,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1061/bar_boemia
Bar Brasil,Centro,(21) 2509-5943,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1203/bar_brasil
Bar Chalé,Tijuca,(21)2569-6362,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1273/bar_chale
Bar da Amendoeira,Maria da Graça,2501-4175,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1106/bar_da_amendoeira
Bar da Dona Maria,Tijuca,2238-5091,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1083/bar_da_dona_maria_1083_1084_1084
Bar da Eva,Grajaú,(21) 3647-9125,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3837/bar_da_eva
Bar da Frente,Praça da Bandeira,2502-0176,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1107/bar_da_frente
Bar da Gema,Tijuca,(21) 2208-9414,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/799/bar_da_gema
Bar da Ladeira,Centro,(21) 2226-9691,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/19/bar-da-ladeira
Bar da Lapa,Centro,(21) 2221-2542,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/18/bar_da_lapa
Bar da Portuguesa,Ramos,2260-8979,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1110/bar_da_portuguesa
Bar da Praia por Jaeé,Leblon,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1652/bar_da_praia_por_jaee
Bar das Quengas,Centro,(21) 2232-0670,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1204/bar_das_quengas
Bar de Lisboa El Gordo,Leblon,(21) 3079-9581,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4366/bar_de_lisboa_el_gordo
Bar Devassa,Centro,(21) 2223-0167,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/109/bar-devassa-centro
Bar Devassa,Jardim Botânico,(21) 2274-1513,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/112/bar-devassa-jardim-botanico
Bar Devassa,Copacabana,(21) 2236-0667,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/113/bar-devassa-copacabana
Bar Devassa,Barra da Tijuca,(21) 2496-8989,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/114/bar-devassa-praia-da-barra-da-tijuca
Bar Devassa,Barra da Tijuca,,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/117/bar_devassa
Bar Devassa-Shopping New York City Center,Barra da Tijuca,(21) 2431-8251,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/115/bar-devassa-shopping-new-york-city-center
Bar Devassa-Shopping Rio Design,Barra da Tijuca,(21) 2431-3649,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/116/bar-devassa-shopping-rio-design
Bar do Adão,Tijuca,(21) 2570-5421,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/759/bar-do-adao---tijuca
Bar do Adão,Centro,(21) 2232-2630,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/760/bar-do-adao---lapa
Bar do Adão,Leblon,(21) 3495-8614,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/761/bar_do_adao---leblon
Bar do Adão,Copacabana,(21) 3208-9311,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/762/bar_do_adao---copacabana
Bar do Adão,Barra da Tijuca,(21) 2498-3744,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/763/bar_do_adao---barra
Bar do Adão,Grajaú,(21) 2577-0730,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3828/bar_do_adao---grajau
Bar do Adão,Freguesia (Jacarepaguá),(21) 3178-6201,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/3829/bar_do_adao---freguesia
Bar do Adão,Méier,(21) 3283-8086,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/4266/bar_do_adao20141014145512
Bar do Alberto,Botafogo,(21)2286-0586,//boadiversao.com.br/guia/rio-de-janeiro/bares/local/id/1275/bar_do_alberto
